uses,floor,name,ceiling,width,height,hip,points,ups
1,1,39,2.3,1.67,1.82,0,4,'202630160212460200002640300012640050102631190112630760'
1,1,27,2.2,1.06,1.82,0,4,'202630160212460200002640300012640050102631190112630760'
1,1,12,2.4,0.91,1.82,0,4,'102460520'
1,1,105,2.4,2.73,0.6,1.8,4,'102460450202630090002640070002460600302450530312450120'
1,1,32,2.4,3.64,2.73,0,4,'102450530112450120202630380002460690'
1,1,23,2.5,3.64,3.64,0,4,'202630090002640070102460520'
1,1,30,2.4,3.64,2.73,0,4,'002640250202630090102460520'
1,1,14,2.7,0.91,1.365,0,4,'002640300012640050102631190112630760'
1,1,49,2.4,8.19,1.365,0,4,'202460330002640300012640050102631190112630760'
1,1,106,2.6,3.64,3.64,0,4,'202630010002640300012640050102631190112630760'
1,1,106,2.6,3.64,3.03,0,4,'202630010002640300012640050102631190112630760'
1,1,44,1.9,0.6,3.03,0,4,'202630010002640300012640050102631190112630760'
1,1,44,1.9,0.6,1.82,0,4,'202630010002640300012640050102631190112630760'
1,2,38,2.4,2.73,3.64,0,4,'202630380212460270002460690102450570112450120'
1,2,7,2.4,3.64,0.91,0,4,'002460690102450570112450120202630090'
1,2,38,2.4,3.64,3.64,0,4,'202630380212460270002460690102450570112450120'
3,1,60,2.4,3.64,7.28,0,4,'002640300102631190202630160212460200'
3,1,39,2,1.82,1.82,0.85,4,'002460650102460520202450090302450310312460180312450050312451070'
3,1,27,1.9,0.91,0.91,0.85,4,'002460650102460520202450090302450310312460180312450050312451070'
3,1,27,1.85,0.91,1.21,0,4,'002460650102460520202630210'
3,1,2,2.4,0.91,1.82,0,4,'002460650102460520202450090302450310312460180312450050312451070'
3,1,26,2.4,2.73,2.73,0,4,'002460720202630380212460270102450570112450480112450490112450500112450510'
3,1,107,1.65,2.73,0.455,0,4,'002460650202460270302450560312450480312450490312450500312450510102450570012450480012450490012450500012450510'
3,1,26,2.45,3.64,3.64,0,4,'002460710002460650102450570112450480112450490112450500112450510202630010'
3,1,26,2.3,3.03,3.64,0,4,'002640070102460520202630010'
3,1,107,1.7,0.455,3.64,0,4,'002460650202460270202460260102460520'
3,1,84,2.2,0.75,0.91,0,4,'002450580012450040012451060102450300112460180112450050112451070202450100'
3,1,60,2.4,3.64,7.28,0,4,'002640300102631190202630460212460030212460200202630160212450160'
3,1,39,2,1.82,1.82,0.85,4,'002460650102460520202450130302450310312460180312450050312451070'
3,1,27,1.9,0.91,0.91,0.85,4,'002460650102460520202450130302450310312460180312450050312451070'
3,1,27,1.85,0.91,1.21,0,4,'002460650102460520202630160212450160'
3,1,107,1.65,2.73,0.455,0,4,'002460650202460270302450560312450480312450490312450500312450510102450570112450480112450490112450500112450510'
3,1,84,2.2,0.75,0.91,0,4,'002450580012450040012451060102450300112460180112450050112451070202450130'
3,1,60,2.4,3.64,7.28,0,4,'002640300202630460212460030212460200202630160212450160102631190112630760'
3,1,107,1.65,2.73,0.455,0.45,4,'002460650202460270102450570112450480112450490112450500112450510302450560312450480312450490312450500312450510'
3,1,84,2.2,0.75,0.91,0,4,'002450580012450040012451060102450310112460180112450050112451070202450130'
3,1,108,1.75,0.455,3.64,0,4,'002460650102460510'
3,1,26,2.45,3.64,3.64,0,4,'002460690002460650102450570202630010'
3,1,26,2.4,2.73,2.73,0,4,'002460690102450570202630380212460200'
3,1,108,1.75,2.73,0.455,0,4,'002460650102450570'
3,1,21,1,0.91,0.91,0,4,'002460600102450560202460200'
3,1,39,2,1.82,1.82,0,4,'002460650102460510102450310112450040112451060202450130'
3,1,27,1.9,0.91,0.91,0,4,'002460650102460510102450310112450040112451060202450130'
3,1,84,2.2,0.75,0.91,0,4,'002450580012450040012451060102450310112450040112451060202450130'
3,1,27,1.85,0.91,1.21,0,4,'002460650102460510202630160212450160'
3,1,26,2.3,3.03,3.64,0,4,'002640070102460510202630010'
3,1,60,2.4,3.64,5.46,0,4,'002640300012640050102631190112630760202630160212450160'
3,1,60,2.4,3.64,1.82,0,4,'002640300012640050102631190112630760202630160212450160202630460212460030212460200'
1,1,90,2.4,3.64,3.64,0,4,'002460690102450530112450120202630380212460270'
1,1,39,2.4,1.67,1.82,0,4,'202630160212460200002640300012640050102631190112630760'
1,1,27,2.4,1.06,1.82,0,4,'102631190112630760102450570112450120002640300012640050202630160212460200'
1,1,26,2.4,2.73,0.6,0,4,'102631190112630760102450570112450120202630090002640070'
3,1,8,2.7,3.64,3.04,0,4,'002460650002640200102460510102450310112450040112451060202450130'
3,1,109,2.75,7.28,7.28,0,4,'002640200102460510202630010'
3,1,102,2.75,5.46,5.46,0,4,'002460650102460510202630010'
3,1,21,1.8,1.82,0.6,0,4,'002460600102460410202460200'
3,1,21,2.1,0.91,0.91,0,4,'102460510202630160212460200'
3,1,27,2.1,0.91,0.91,0,4,'102460510202630160212460200'
3,1,27,2.1,1.675,0.91,0,4,'102460510202630160212460200'
3,1,102,2.4,9.1,3.64,0,4,'002640200102460510102631160202630010'
3,1,26,2.6,1.82,1.82,0,4,'002460600102460410202450130'
